epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,23.8478,1.16531,1.84139,1.26484,0.8685,0.42386,0.59494,0.38182,1.14475,2.36156,1.29003,0.000651852,0.000651852,0.000651852
2,46.2501,1.22669,1.44889,1.33052,0.47616,0.48678,0.44752,0.21773,1.49304,2.10962,1.76098,0.00130547,0.00130547,0.00130547
3,68.5521,1.27429,1.3619,1.33165,0.42903,0.4264,0.37634,0.1735,1.80007,2.62068,2.17626,0.00194588,0.00194588,0.00194588
4,90.7507,1.27736,1.30896,1.36165,0.66188,0.63595,0.66015,0.36036,1.4775,1.654,1.59408,0.0019406,0.0019406,0.0019406
5,112.926,1.29435,1.23484,1.35526,0.65655,0.5533,0.57408,0.28575,1.67481,2.01356,2.02276,0.0019208,0.0019208,0.0019208
6,135.134,1.26973,1.24042,1.36361,0.69312,0.57324,0.65491,0.36296,1.562,1.6592,1.68324,0.001901,0.001901,0.001901
